route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
13,Saturday,1819,Van Mall TC,0,174,206,0,0
13,Saturday,1763,City Center,1,174,207,0,0
13,Saturday,1824,Van Mall TC,0,174,206,0,0
13,Saturday,1768,City Center,1,174,207,0,0
13,Saturday,1829,Van Mall TC,0,174,206,0,0
13,Saturday,1773,City Center,1,174,207,0,0
13,Saturday,1834,Van Mall TC,0,174,206,0,0
13,Saturday,1778,City Center,1,174,207,0,0
13,Saturday,1839,Van Mall TC,0,174,206,0,0
13,Saturday,1782,City Center,1,174,207,0,0
13,Saturday,1843,Van Mall TC,0,174,206,0,0
13,Saturday,1784,City Center,1,174,207,0,0
13,Saturday,1845,Van Mall TC,0,174,206,0,0
13,Saturday,1786,City Center,1,174,207,0,0
13,Saturday,1847,Van Mall TC,0,174,206,0,0
13,Saturday,1734,City Center,1,175,207,0,0
13,Saturday,1795,Van Mall TC,0,175,206,0,0
13,Saturday,1739,City Center,1,175,207,0,0
13,Saturday,1800,Van Mall TC,0,175,206,0,0
13,Saturday,1744,City Center,1,175,207,0,0
13,Saturday,1805,Van Mall TC,0,175,206,0,0
13,Saturday,1749,City Center,1,175,207,0,0
13,Saturday,1810,Van Mall TC,0,175,206,0,0
13,Saturday,1754,City Center,1,175,207,0,0
13,Saturday,1815,Van Mall TC,0,175,206,0,0
13,Saturday,1759,City Center,1,175,207,0,0
13,Saturday,1820,Van Mall TC,0,175,206,0,0
13,Saturday,1764,City Center,1,175,207,0,0
13,Saturday,1825,Van Mall TC,0,175,206,0,0
13,Saturday,1769,City Center,1,175,207,0,0
13,Saturday,1830,Van Mall TC,0,175,206,0,0
13,Saturday,1774,City Center,1,175,207,0,0
13,Saturday,1835,Van Mall TC,0,175,206,0,0
13,Saturday,1779,City Center,1,175,207,0,0
13,Saturday,1840,Van Mall TC,0,175,206,0,0
13,Saturday,1736,City Center,1,176,207,0,0
13,Saturday,1797,Van Mall TC,0,176,206,0,0
13,Saturday,1741,City Center,1,176,207,0,0
13,Saturday,1802,Van Mall TC,0,176,206,0,0
13,Saturday,1746,City Center,1,176,207,0,0
13,Saturday,1807,Van Mall TC,0,176,206,0,0
13,Saturday,1751,City Center,1,176,207,0,0
13,Saturday,1812,Van Mall TC,0,176,206,0,0
13,Saturday,1756,City Center,1,176,207,0,0
13,Saturday,1817,Van Mall TC,0,176,206,0,0
13,Saturday,1761,City Center,1,176,207,0,0
13,Saturday,1822,Van Mall TC,0,176,206,0,0
13,Saturday,1766,City Center,1,176,207,0,0
13,Saturday,1827,Van Mall TC,0,176,206,0,0
13,Saturday,1771,City Center,1,176,207,0,0
13,Saturday,1832,Van Mall TC,0,176,206,0,0
13,Saturday,1776,City Center,1,176,207,0,0
13,Saturday,1837,Van Mall TC,0,176,206,0,0
14,Saturday,1214,Delta Park No Jantzen,1,177,210,0,0
14,Saturday,1153,City Center via Jantzen,0,177,211,0,0
14,Saturday,1215,Delta Park No Jantzen,1,177,210,0,0
14,Saturday,1154,City Center via Jantzen,0,177,211,0,0
14,Saturday,1216,Delta Park No Jantzen,1,177,210,0,0
14,Saturday,1155,City Center via Jantzen,0,177,211,0,0
14,Saturday,1217,Delta Park No Jantzen,1,177,210,0,0
